sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB132	0.1	NC_000962.3	1	4411532	494834	1747689	39.6164	14.1568	39.6	60
Yale-TB132	0.25	NC_000962.3	1	4411532	1241619	2397469	54.3455	35.5329	39.6	60
Yale-TB132	0.5	NC_000962.3	1	4411532	2481280	2847729	64.5519	71.0317	39.6	60
Yale-TB132	1.0	NC_000962.3	1	4411532	4960211	3240181	73.448	142	39.6	60
Yale-TB155	0.05	NC_000962.3	1	4411532	2747	5798	0.131428	0.0506479	39.7	60
Yale-TB155	0.125	NC_000962.3	1	4411532	6487	10047	0.227744	0.119775	39.7	60
Yale-TB155	0.1	NC_000962.3	1	4411532	5247	8452	0.191589	0.0968865	39.7	60
Yale-TB155	0.25	NC_000962.3	1	4411532	12914	14626	0.33154	0.238359	39.7	60
Yale-TB155	0.5	NC_000962.3	1	4411532	25589	22876	0.51855	0.47197	39.7	60
Yale-TB155	1.0	NC_000962.3	1	4411532	51045	34368	0.779049	0.941333	39.7	60
Yale-TB156	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB156	0.125	NC_000962.3	1	4411532	4	437	0.00990586	0.000116739	39.4	60
Yale-TB156	0.1	NC_000962.3	1	4411532	4	437	0.00990586	0.000116739	39.4	60
Yale-TB156	0.25	NC_000962.3	1	4411532	6	551	0.01249	0.000167742	39.6	60
Yale-TB156	0.5	NC_000962.3	1	4411532	12	764	0.0173182	0.00031939	39.7	60
Yale-TB156	1.0	NC_000962.3	1	4411532	16	1103	0.0250027	0.000414369	39.7	60
Yale-TB114	0.05	NC_000962.3	1	4411532	20936	62384	1.41411	0.506397	39.5	60
Yale-TB114	0.125	NC_000962.3	1	4411532	52565	131790	2.9874	1.27353	39.5	60
Yale-TB114	0.1	NC_000962.3	1	4411532	41965	110280	2.49981	1.01628	39.5	60
Yale-TB114	0.25	NC_000962.3	1	4411532	105624	234964	5.32613	2.55995	39.5	60
Yale-TB114	0.5	NC_000962.3	1	4411532	211555	411274	9.3227	5.12738	39.5	60
Yale-TB114	1.0	NC_000962.3	1	4411532	424187	680088	15.4161	10.2838	39.5	60
Yale-TB146	0.05	NC_000962.3	1	4411532	105487	422373	9.57429	2.69967	39.6	60
Yale-TB146	0.125	NC_000962.3	1	4411532	263665	862626	19.5539	6.74535	39.6	60
Yale-TB146	0.1	NC_000962.3	1	4411532	210548	732231	16.5981	5.38659	39.6	60
Yale-TB146	0.25	NC_000962.3	1	4411532	528078	1378186	31.2405	13.5009	39.6	60
